Country,Clicks,Impressions,CTR,Position
India,11,62,17.74%,31.82
United States,1,239,0.42%,37.28
Kenya,1,10,10%,13.2
Iceland,1,2,50%,6
United Kingdom,0,127,0%,39.41
Netherlands,0,39,0%,49.18
Australia,0,37,0%,47.62
South Africa,0,31,0%,17.97
United Arab Emirates,0,31,0%,30.87
Malaysia,0,27,0%,40.52
Indonesia,0,24,0%,49.42
Singapore,0,20,0%,47.3
Germany,0,18,0%,24.61
France,0,16,0%,32
Philippines,0,15,0%,56.87
Canada,0,13,0%,22.38
Turkey,0,11,0%,55.18
Vietnam,0,9,0%,52
Nigeria,0,8,0%,3.25
Bangladesh,0,8,0%,70.25
Spain,0,7,0%,41.71
Romania,0,6,0%,2.83
Ireland,0,6,0%,9.5
China,0,6,0%,11.5
Brazil,0,6,0%,25.83
Mexico,0,6,0%,59
Poland,0,5,0%,4.6
Japan,0,5,0%,7.8
Bulgaria,0,4,0%,7.5
Italy,0,4,0%,24.75
Ghana,0,3,0%,5.67
Denmark,0,3,0%,6.67
Jamaica,0,3,0%,8.67
Russia,0,3,0%,29.33
Saudi Arabia,0,3,0%,44
Colombia,0,3,0%,55.67
Egypt,0,2,0%,1
Ethiopia,0,2,0%,1
Pakistan,0,2,0%,1
Hong Kong,0,2,0%,1.5
Hungary,0,2,0%,5.5
Sri Lanka,0,2,0%,5.5
Norway,0,2,0%,8
Iran,0,2,0%,9
Thailand,0,2,0%,60.5
Morocco,0,2,0%,91
Bosnia & Herzegovina,0,1,0%,1
Lithuania,0,1,0%,1
Myanmar (Burma),0,1,0%,1
Namibia,0,1,0%,1
Georgia,0,1,0%,2
Israel,0,1,0%,3
South Korea,0,1,0%,3
Malawi,0,1,0%,3
Argentina,0,1,0%,4
Portugal,0,1,0%,4
Greece,0,1,0%,5
Nepal,0,1,0%,5
Peru,0,1,0%,5
Uganda,0,1,0%,5
Uzbekistan,0,1,0%,6
Côte d’Ivoire,0,1,0%,8
Papua New Guinea,0,1,0%,8
Serbia,0,1,0%,8
Belgium,0,1,0%,9
Czechia,0,1,0%,9
Panama,0,1,0%,9
Qatar,0,1,0%,9
El Salvador,0,1,0%,9
Venezuela,0,1,0%,9
Austria,0,1,0%,13
Slovenia,0,1,0%,13
Jordan,0,1,0%,53
Algeria,0,1,0%,95
